Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
2050933563,60.689907,-231.352524,-449.961731,-0.114401,-0.414006,0.240875
2050973588,134.226105,-279.215912,-490.814026,-0.110284,0.029349,-0.307058
2051013607,81.120636,-172.390533,-464.032379,-0.147037,1.300609,-0.915183
2051053637,45.316158,-54.250469,-266.988251,0.571151,2.297543,-1.166860
2051093669,-99.319389,41.824127,81.372429,0.649912,1.724682,-0.811769
2051133682,-184.366287,120.218262,185.058136,1.254096,0.945506,-0.949790
2051173712,-242.341232,190.955185,282.492462,0.696593,0.982710,-0.339951
2051213731,-288.671967,224.924911,353.279358,0.408647,0.251144,-0.102409
2051253761,-223.401520,283.688324,325.965698,0.216700,-0.324561,-0.174085
2051293787,-24.452574,199.255020,283.616974,0.111670,-0.844553,0.535071
2051333805,193.237183,34.584591,94.724709,0.398766,-1.402422,1.411492
2051373835,44.975155,-47.140522,-13.108396,0.470276,-0.897177,1.114023
2051413876,0.610564,-29.306356,-12.940249,0.501420,-0.434651,0.691185
2051453880,-15.266451,1.241198,-3.275834,0.557719,-0.467654,0.687678
2051493909,-10.842287,-6.541880,-2.651164,0.644843,-0.462217,0.778924
2051533929,-5.293656,-21.521088,-2.982294,0.688286,-0.457027,0.731165
2051573959,9.770551,-24.929298,-8.940276,0.683534,-0.422926,0.621745
2051613984,-0.093116,-14.501482,-6.421540,0.674432,-0.367700,0.569414
2051654003,-1.887006,-9.415149,2.462720,0.691545,-0.377471,0.542986
2051694033,-0.271767,-7.283714,1.965805,0.685396,-0.403165,0.552142
2051734053,-0.196275,-2.462043,2.089822,0.704885,-0.411079,0.556896
2051774083,0.553793,-2.850048,5.928943,0.699782,-0.389795,0.583761
2051814108,-1.554114,-4.723767,11.220481,0.683644,-0.432876,0.570671
2051854127,5.903233,-2.112484,6.019440,0.663931,-0.448666,0.554677
2051894157,0.662930,3.012376,5.159168,0.660382,-0.450527,0.586704
2051934182,1.319961,4.175394,1.794293,0.665526,-0.466162,0.611639
2051974201,5.808511,-1.120790,-2.130254,0.658266,-0.450636,0.604888
2052014231,1.762172,3.012854,-2.741492,0.669061,-0.451993,0.608094
2052054251,-1.260645,3.287657,-5.509710,0.671145,-0.425249,0.618430
2052094281,4.491028,1.164376,-6.796573,0.681981,-0.418168,0.612016
2052134306,9.028529,-1.521684,-7.407620,0.678772,-0.412541,0.580632
2052174325,6.463109,3.836447,-7.242863,0.672103,-0.408187,0.569001
2052214355,0.181459,6.673566,-5.113414,0.689507,-0.395028,0.606518
2052254380,3.749048,2.913050,-4.444997,0.692262,-0.379835,0.621281
2052294399,6.512334,3.097420,-3.359729,0.684182,-0.392180,0.621193
2052334430,2.440886,3.839146,-2.484082,0.682029,-0.388645,0.627351
