Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
2071666404,-0.276855,-2.537254,-0.994191,-0.116430,0.289836,0.937066
2071706408,-0.053566,-0.983785,-2.109560,-0.106816,0.292455,0.932091
2071746438,0.071678,2.392592,-1.184978,-0.099787,0.292742,0.916673
2071786457,0.508053,6.008329,-0.089477,-0.118451,0.279398,0.942356
2071826487,-3.678366,5.552424,-0.819676,-0.117103,0.287039,0.964744
2071866512,-5.463998,4.312559,0.514129,-0.111459,0.294007,0.960821
2071906532,-6.344154,3.210329,1.185649,-0.126601,0.267325,0.935365
2071946561,-9.631646,6.969396,-1.758111,-0.126528,0.266573,0.936792
2071986604,1.372862,23.746561,31.167271,-0.064382,0.299794,0.961427
2072026606,-23.939636,28.788176,39.153755,-0.167539,0.246501,0.938992
2072066636,-23.528494,26.001667,18.238005,-0.184451,0.266968,0.918824
2072106656,-9.951666,23.078487,13.729978,-0.199264,0.274924,0.944289
2072146686,-1.806617,16.159714,5.107377,-0.243649,0.258344,0.973999
2072186710,1.211706,20.775305,3.122535,-0.256734,0.215291,1.016454
2072226730,10.356936,14.110028,-1.187285,-0.235372,0.229890,1.044500
2072266760,32.114677,-8.102545,-13.217252,-0.167103,0.217145,1.104195
2072306802,35.797741,-25.252134,-21.988239,0.036840,0.170761,1.191571
2072346804,-18.030693,-44.336655,-24.583715,0.159442,0.262409,1.204019
2072386834,-60.701527,-58.787365,-16.921087,0.202710,0.411567,0.968087
2072426853,-58.744453,-50.350750,24.888365,0.240218,0.384114,0.719008
2072466884,6.653426,-41.474915,52.623272,0.011414,0.142201,0.585998
2072506909,-11.760736,-20.946102,39.096634,-0.176328,-0.017025,0.461213
2072546928,-12.386847,52.572845,13.642446,-0.357384,-0.018400,0.495731
2072586958,-20.435427,121.880028,-5.485003,-0.566503,0.108060,0.705159
2072627005,33.216114,110.173744,-17.627357,-0.690455,0.452226,1.525662
2072667003,186.715805,-113.551170,1.792282,-0.514992,0.578498,1.611897
2072707032,-30.207129,24.424643,7.112444,-0.604120,0.299793,0.964625
2072747052,-101.420128,52.379009,-2.856989,-0.461570,0.394350,1.053228
2072787082,-24.167215,-23.982121,-10.943672,-0.380342,0.416606,1.194823
2072827107,-9.394671,-74.021202,4.403660,-0.389287,0.312049,0.913130
2072867127,6.281806,-44.799927,7.360418,-0.241733,0.176694,0.672528
2072907157,15.346440,-3.681619,3.391680,-0.100558,0.131163,0.666706
2072947176,6.519190,29.232679,-7.163438,-0.054115,0.164984,0.681221
2072987206,11.835060,56.839283,-6.399559,0.002233,0.201696,0.750771
2073027231,15.785747,62.973049,-6.258093,-0.028828,0.179593,0.891993
2073067251,4.080714,53.018810,-4.949891,-0.072578,0.185112,0.976600
2073107280,0.582738,38.001846,0.047738,-0.125146,0.180068,1.066723
2073147305,42.989891,-53.973610,5.086183,-0.123626,0.297968,1.510953
2073187324,5.827882,-49.987049,20.351665,-0.194399,0.200376,0.952259
2073227354,12.622320,-17.452547,10.032688,-0.171695,0.274638,0.971005
2073267374,14.102765,-3.442480,-4.197941,-0.182177,0.278791,0.920217
2073307404,12.884412,-1.589927,-14.502072,-0.172622,0.347941,0.941568
2073347429,-9.975338,5.919592,-10.038455,-0.187255,0.362688,0.952838
2073387448,-20.526819,9.110361,-6.585649,-0.213515,0.256064,0.934569
2073427478,-6.153197,8.283461,-12.442383,-0.221043,0.263567,0.946837
2073467503,-6.483492,13.649455,-3.311082,-0.211010,0.272924,0.949618
2073507523,8.415854,15.118140,-7.331310,-0.236901,0.249602,0.932957
2073547553,16.053797,17.318901,-9.067362,-0.221326,0.297688,0.926104
2073587572,19.329407,26.545416,5.119504,-0.259012,0.330991,0.966956
2073627602,52.358459,36.961361,9.111344,-0.292688,0.222414,1.018915
2073667627,101.525826,-3.234514,-20.042219,-0.270619,0.150720,1.351673
2073707647,58.345257,-74.927269,-57.049049,-0.129351,-0.020702,1.529172
2073747677,1.556447,-138.765121,-108.450600,-0.213272,-0.094820,1.177381
2073787701,-42.647232,-118.741043,-141.307953,-0.181558,0.133213,0.744963
2073827721,-62.871052,-86.034767,-111.275047,-0.034450,0.368831,0.629055
2073867751,-32.920940,-71.425262,-70.737457,-0.120397,0.420121,0.424507
2073907770,-4.562197,-32.387531,-50.172943,-0.290787,0.459548,0.417552
2073947801,-22.071203,26.379898,-33.820702,-0.437712,0.437709,0.504900
2073987825,-17.011583,86.645927,-31.332916,-0.484194,0.361095,0.636767
2074027845,1.137023,21.882627,-23.715628,-0.372574,0.547304,1.900741
2074067875,59.659740,-70.119553,-4.922928,-0.386321,0.530886,1.013290
2074107904,-2.843030,4.760290,6.393650,-0.298165,0.232349,1.045151
2074147919,-74.143394,19.997988,28.432215,-0.320865,0.491270,1.085845
2074187949,-104.227348,4.262383,41.727161,-0.478657,0.594443,1.199023
