Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
2062820915,-0.453326,0.378453,2.736823,-0.163748,0.133001,0.990684
2062860940,-2.659385,0.383045,1.910287,-0.161102,0.131735,0.988793
2062900960,-2.201990,-0.763504,6.466106,-0.153886,0.120704,0.994354
2062940990,-5.277441,-4.926048,7.175103,-0.146474,0.098111,1.018857
2062981009,0.579384,-13.648300,1.797601,-0.138049,0.077921,0.971237
2063021039,14.601952,-19.570778,4.095541,-0.112401,0.123150,0.934514
2063061064,24.385946,-11.264427,10.324080,-0.100049,0.078072,0.882237
2063101084,27.266617,2.442647,13.674499,-0.095352,0.083146,0.856807
2063141113,8.633571,18.357162,-8.808887,-0.207746,0.075011,1.009094
2063181141,-22.281530,16.819838,-16.865395,-0.114702,0.243905,1.056072
2063221158,-17.527546,9.594090,2.887807,-0.069544,0.274115,0.927371
2063261188,4.620661,10.718616,26.782125,-0.066867,0.217608,0.818988
2063301207,37.781513,19.391069,26.723362,-0.167304,0.138052,0.812694
2063341238,30.785620,39.055855,16.836802,-0.176314,0.122070,0.834708
2063381262,10.105434,51.756191,7.095286,-0.199673,0.164540,0.860164
2063421282,6.289515,64.957542,3.917151,-0.340121,0.209003,0.932839
2063461312,21.364435,64.979858,-1.878071,-0.364227,0.253602,1.055866
2063501332,10.307605,37.922039,5.271927,-0.422319,0.264272,1.184963
2063541361,-0.655106,20.800644,-1.243087,-0.441233,0.265668,1.086410
2063581386,-0.505764,8.464433,-0.687138,-0.414897,0.259679,1.018601
2063621405,3.182369,-1.808662,0.264382,-0.380339,0.250641,0.940646
2063661435,9.899880,-5.839011,3.099173,-0.354089,0.235526,0.893850
2063701460,5.370577,-2.256939,1.584866,-0.337258,0.215376,0.873533
2063741480,8.174324,6.020374,1.378304,-0.342211,0.232427,0.891629
2063781510,43.838589,0.283457,12.913022,-0.439850,0.142938,1.291606
2063821529,45.092667,-45.036068,-7.426548,-0.353303,-0.086581,1.543473
2063861559,-33.373306,-86.860497,-50.057899,-0.189258,-0.082529,1.230754
2063901584,-27.314133,-103.647339,-65.538353,-0.006368,-0.098597,0.745280
2063941603,-17.875702,-92.192993,-82.554260,-0.051386,-0.064720,0.354191
2063981633,-31.043600,-18.761921,-102.192253,-0.257084,0.254925,0.091360
2064021661,-67.330467,90.507385,-53.001553,-0.367487,0.553869,0.262168
2064061678,31.440201,133.264267,-18.901754,-0.681088,0.502096,0.659660
2064101707,224.022995,-7.721290,-37.117565,-0.752656,0.842958,2.389993
2064141727,9.474679,-48.146179,23.428093,-0.633278,0.404001,0.760944
2064181757,-69.388702,34.744167,0.473966,-0.432059,0.413907,0.990277
2064221782,-70.215080,27.497389,14.885585,-0.442098,0.487801,1.008763
2064261801,-44.175930,-32.338295,25.311169,-0.419504,0.570502,1.073606
2064301831,-30.727720,-44.529709,63.030182,-0.439307,0.464368,0.702184
2064341869,12.938217,2.877689,82.225693,-0.362510,0.318541,0.529042
2064381876,49.462219,44.026787,90.550972,-0.300793,0.218628,0.599725
2064421906,42.008011,63.380127,87.359421,-0.238417,0.139587,0.696194
2064461925,44.388653,52.215706,58.231991,-0.282638,0.001141,0.899673
2064501955,-15.478375,48.057156,26.265711,-0.357171,-0.018718,1.099494
2064541980,-36.491512,22.155401,-0.680715,-0.331756,0.055620,1.113855
2064581999,-41.690727,-2.992499,-1.875102,-0.306317,0.157658,1.166203
2064622030,-27.241491,-40.682816,-2.357736,-0.316943,0.228323,1.087676
2064662054,3.318794,-37.620541,-0.268175,-0.318009,0.294526,0.867771
2064702074,13.626307,-19.445734,1.884899,-0.309694,0.280836,0.931597
2064742103,-3.171962,-7.042265,-5.622145,-0.311479,0.275652,0.937142
2064782123,-8.677791,-1.115437,-2.333858,-0.284005,0.276924,0.916081
2064822153,-5.586675,-1.320719,-2.994259,-0.301970,0.267338,0.913960
2064862178,-5.537216,-0.144470,-0.851395,-0.299301,0.269480,0.921348
2064902198,-5.682443,0.978096,1.520449,-0.302900,0.247870,0.918666
2064942227,-2.728667,1.797809,-1.371322,-0.299400,0.269114,0.928704
2064982247,-13.579116,10.498569,5.312765,-0.297331,0.272073,0.946147
2065022272,-15.447387,28.644215,3.888787,-0.306073,0.188723,1.017154
2065062302,12.853543,10.263009,-10.791982,-0.241568,0.185544,1.252481
2065102326,-10.539095,-20.436861,-6.789034,-0.217477,0.223768,1.165124
2065142351,-9.217274,-31.822718,-5.865110,-0.175474,0.193061,1.038749
2065182376,-13.486402,-34.943748,-8.446334,-0.149742,0.146279,0.958714
2065222395,-36.245388,-32.824024,-11.687969,-0.120002,0.159966,0.838542
2065262425,-26.287790,-23.085571,-12.572953,-0.084597,0.158071,0.830300
2065302445,-30.744602,-21.491625,-8.822406,-0.119257,0.180702,0.791649
2065342475,-20.366726,-16.414982,-5.088326,-0.166717,0.176012,0.725243
2065382500,-11.638326,-0.266545,-2.786547,-0.226311,0.190904,0.716997
2065422520,-11.948771,16.617998,-1.835298,-0.313995,0.172067,0.738798
2065462549,0.860759,26.951803,-0.514853,-0.381787,0.202838,0.773354
2065502575,24.935648,39.492519,-3.211483,-0.486193,0.167329,0.824171
2065542594,22.893087,46.785812,-7.371360,-0.492938,0.186424,0.979808
2065582624,74.125938,-70.435394,0.590611,-0.499061,0.368259,1.552846
2065622643,17.570463,-27.929022,10.739172,-0.531590,0.158153,0.908352
2065662673,-33.611782,20.517282,-2.085023,-0.465503,0.239609,1.115013
2065702698,-56.186810,58.558815,7.854732,-0.655709,0.136817,0.986972
2065742717,-13.196719,4.804103,-22.796171,-0.542342,0.260551,1.311006
2065782748,-9.214652,-61.547657,3.492604,-0.456720,0.312793,0.963847
2065822791,21.146749,-55.559628,10.696175,-0.406536,0.209994,0.673574
2065862791,7.895389,-19.748369,-0.476793,-0.293967,0.208304,0.661507
2065902822,-10.368702,-0.608783,4.349157,-0.154691,0.213213,0.629713
2065942841,13.778438,22.197519,8.954696,-0.096448,0.166880,0.572792
2065982871,25.468573,55.573589,12.780951,-0.075021,0.090757,0.636970
2066022896,20.578382,80.827637,4.643335,-0.107911,0.054294,0.808466
2066062916,15.277712,77.164345,1.538317,-0.142531,0.091264,1.064677
2066102946,14.649432,47.828075,2.472760,-0.173912,0.128011,1.213755
2066142994,37.574425,-66.849884,12.025633,-0.249374,0.231672,1.755580
2066182990,-24.136534,-49.833229,17.602571,-0.386314,0.125663,0.881940
2066223020,8.560710,-14.455731,-4.618166,-0.223832,0.237512,0.933748
2066263039,7.440885,-9.626547,-1.512555,-0.222369,0.292798,0.920012
2066303069,0.763277,-8.686960,2.575738,-0.258745,0.283828,0.933432
2066343094,-1.838797,0.024296,3.905476,-0.301829,0.270566,0.911416
2066383114,-4.531343,1.545663,4.166496,-0.285742,0.223401,0.966432
2066423144,-2.925699,4.050754,-0.575288,-0.333923,0.195008,0.912394
2066463163,-2.403406,7.809014,-6.627696,-0.314001,0.231097,0.934099
2066503194,-2.148251,9.332982,-0.295070,-0.292600,0.249047,0.916477
2066543218,-0.149539,12.281226,0.732280,-0.314659,0.213247,0.948491
2066583238,-1.988114,17.909067,9.021476,-0.325010,0.224136,0.950479
2066623268,29.368582,15.096953,5.425881,-0.360783,0.136016,1.067613
2066663292,40.275997,-18.557671,-8.276198,-0.299536,0.117978,1.185029
2066703312,24.135349,-45.082119,-11.574664,-0.272602,0.150173,0.992544
2066743342,32.463253,-45.192051,-25.789026,-0.263597,0.103699,0.876792
2066783362,16.817745,-27.279539,-45.580402,-0.268420,0.121254,0.859792
2066823391,-3.437644,-21.638575,-60.456818,-0.229542,0.217189,0.911881
2066863416,1.095641,-20.223139,-57.223480,-0.200053,0.265446,0.890270
