Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
2037525269,-0.526198,-1.415483,2.611264,0.243287,0.178416,0.957919
2037565294,-1.783041,-1.146849,1.837469,0.250029,0.187685,0.953354
2037605313,-0.969794,-0.698693,2.603048,0.249264,0.185224,0.946091
2037645343,-0.750833,-2.141139,1.881223,0.249106,0.173902,0.967075
2037685363,-5.329921,-3.073587,2.662901,0.263137,0.187540,0.957242
2037725393,-6.127166,-3.120638,5.489538,0.283192,0.204466,0.946066
2037765418,-3.132196,-5.210221,9.278659,0.267028,0.163850,0.944655
2037805437,-2.295874,-0.320360,-5.152742,0.222393,0.125754,0.875682
2037845467,9.716158,13.870654,2.496095,0.249553,0.293235,0.842625
2037885500,39.177364,17.729595,56.316628,0.272035,0.474469,1.098838
2037925512,53.423439,-41.600903,113.169228,0.335428,0.444903,1.898102
2037965541,35.857189,-196.313522,76.341484,0.256861,0.022468,2.405755
2038005561,-22.691212,-377.560730,-12.466540,0.285763,-0.448016,2.390854
2038045591,-64.870300,-547.827087,-81.993172,-0.791959,-0.044887,1.543253
2038085616,-80.680359,-461.328827,-10.653754,-0.526057,0.288575,-0.246460
2038125635,-83.250633,-254.666016,71.849808,0.198118,0.593898,-1.147176
2038165665,-108.432671,-47.472149,49.337894,0.773858,0.730996,-0.909845
2038205685,-9.868042,-18.481050,76.759605,0.976277,1.000024,-0.559383
2038245715,59.650093,-33.508049,121.757401,0.973930,0.992839,-0.623851
2038285740,101.773003,-25.827225,243.625717,0.765897,0.920517,-0.499905
2038325759,143.885223,21.193218,328.486328,0.438253,0.305093,-0.370202
2038365789,172.836273,113.361595,405.948395,0.054639,-0.101011,0.025703
2038405814,120.917091,217.174545,448.291840,-0.727780,-1.069530,0.836820
2038445833,-107.204216,97.810661,282.924866,-0.943052,-2.899706,1.587730
2038485863,-51.928188,-99.190453,-121.738548,-1.079074,-3.105773,1.012436
2038525883,-147.058975,-105.830276,-423.434235,-1.012741,-2.109483,0.514011
2038565913,-110.109436,-110.023270,-658.289734,-1.052951,-0.836473,0.344335
2038605938,-3.117175,-51.541126,-709.520813,-0.861290,1.518919,-0.848925
2038645957,183.072174,-6.677541,-435.690674,0.641921,3.655281,-1.203147
2038685987,-79.930832,106.318764,140.452454,1.361780,3.137332,-0.913912
2038726015,20.492153,64.167122,349.139557,0.702008,1.614313,-0.566233
2038766032,128.317841,52.386944,427.372803,0.228976,0.870811,-0.220649
2038806062,115.516380,183.261765,524.211060,-0.503760,0.178833,0.089482
2038846081,87.385414,284.155365,582.191772,-1.727996,-0.890604,1.126902
2038886111,-255.586914,65.652969,373.054504,-1.633935,-3.480427,1.455137
2038926136,-48.879852,-48.004330,-128.640213,-1.176901,-3.004376,0.003778
2038966155,-49.115265,40.830078,-327.290680,-0.724549,-1.502293,0.371535
2039006185,-95.558769,22.372692,-461.063477,-0.562414,-1.273211,0.572396
2039046231,-59.425659,-33.588493,-629.455261,-0.676957,-0.426809,0.215269
2039086229,-19.197659,49.497227,-690.188110,-0.860448,1.385568,-0.545022
2039126260,38.644371,190.955673,-388.817749,0.724618,3.629002,-0.405551
2039166279,-194.861496,169.780197,108.717445,1.416712,2.830434,0.245947
2039206309,-107.220276,90.483124,333.876648,0.965950,1.528779,0.385749
2039246334,44.994381,12.947496,414.417572,0.438087,0.846740,0.428365
2039286353,143.298996,54.257290,464.787109,0.081037,0.381709,0.590784
2039326383,26.865559,71.985405,432.906891,-0.515120,-0.609363,1.171574
2039366403,-122.963028,-60.748230,337.584991,-0.655241,-1.565960,1.094427
2039406433,-103.156761,-105.867546,167.704086,-0.546889,-1.810970,0.712634
2039446457,-83.803123,-65.661758,-3.838521,-0.434463,-2.160890,0.440185
2039486477,-123.661644,-41.577877,-191.489487,-0.297576,-1.828273,0.544814
2039526507,-87.876610,-66.074265,-434.776520,-0.472626,-1.809368,0.357965
2039566532,-67.214928,-39.917667,-676.266541,-0.855904,-0.441052,-0.142604
2039606551,-42.726086,112.595352,-630.276428,-0.612353,1.380176,-0.569935
2039646581,-102.026184,205.647385,-286.722992,0.777860,2.526695,0.462782
2039686601,-143.772446,82.216743,-73.375229,0.906806,1.472945,0.376656
2039726631,-121.865089,92.830513,21.515289,0.845143,1.175827,-0.046691
2039766656,-94.495705,182.283554,120.684715,0.605836,0.908971,-0.009482
2039806675,-37.040936,258.910980,175.886337,0.284812,0.519381,0.191429
2039846705,58.535152,320.346161,183.385605,0.013424,0.340566,0.620767
2039886725,131.087097,308.488434,241.718216,-0.009205,0.212440,1.068556
2039926755,159.699402,275.840851,208.952957,-0.125267,-0.110981,1.521540
2039966780,15.914726,193.889206,34.442135,-0.533681,-0.261825,1.925728
2040006799,-1.517009,22.643393,-40.009380,-0.364121,-0.287627,1.352033
2040046829,-25.553419,-21.614902,-87.764908,-0.262881,-0.025266,1.217537
2040086853,-19.029068,-56.580547,-82.059502,-0.143850,0.171628,1.127134
2040126873,30.860590,-81.186859,-64.601257,-0.056016,0.290289,0.976065
2040166903,53.367512,-71.165703,-41.335514,0.051222,0.385364,0.981780
2040206923,31.981388,-61.373463,-23.445515,0.130780,0.398870,1.024071
2040246953,24.213030,-59.102917,-15.706285,0.175390,0.395753,0.890189
2040286977,9.391625,-28.812336,-1.629815,0.162910,0.364102,0.874249
2040326997,6.083450,-20.604269,7.384386,0.234785,0.383330,0.887918
2040367028,1.978153,-9.342280,12.594429,0.218722,0.356530,0.883017
2040407047,3.480053,-4.052396,21.037407,0.209973,0.320160,0.917358
2040447076,4.388986,-5.938640,16.707172,0.213225,0.290466,0.944563
