Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
2023916859,2.969549,-0.618634,-7.467874,0.733618,-0.131296,0.685558
2023956879,1.523915,-1.160601,-0.841275,0.737454,-0.127361,0.680236
2023996908,5.598313,-1.808254,-0.213648,0.710929,-0.144335,0.658031
2024036933,9.390071,2.189800,-1.117117,0.730664,-0.159248,0.680210
2024076953,7.998365,3.486681,-4.527037,0.697488,-0.139458,0.677099
2024116982,29.358936,-0.629991,-6.382363,0.818010,-0.122504,0.761919
2024157002,17.888666,-4.990732,-10.054176,0.752809,-0.088866,0.782345
2024197032,23.899328,-9.403327,-22.679485,0.722075,-0.089819,0.663807
2024237057,43.526775,-21.379190,-27.884668,0.776155,0.001880,0.618127
2024277076,33.352993,-31.176773,5.865491,0.782996,0.019967,0.583739
2024317107,33.782635,-18.321463,22.924349,0.768662,-0.032078,0.570617
2024357131,6.551538,-19.100180,34.990154,0.884135,0.073540,0.706038
2024397150,-8.635437,-55.039204,110.008232,0.842827,0.023182,0.708044
2024437180,-8.310315,-49.065639,100.906792,0.804226,0.023856,0.544947
2024477200,37.490078,-56.905544,86.834068,0.864752,0.066459,0.574436
2024517229,37.075829,-46.037174,110.110794,0.958699,0.115799,0.590362
2024557255,-8.960862,0.431602,158.885605,0.770558,-0.075582,0.365780
2024597274,74.292168,78.944260,180.966049,0.638864,-0.173135,0.448850
2024637304,-35.936642,47.646809,187.351486,0.603110,-0.097140,0.846264
2024677332,-94.862221,3.572655,209.264771,0.188770,-0.687635,0.827675
2024717348,-71.486275,-42.232433,161.645966,-0.057300,-1.526578,1.045861
2024757377,-151.318771,-51.069736,59.474209,-0.454799,-2.147127,1.065317
2024797397,-59.894741,-98.621742,-160.667175,-0.696206,-2.221565,0.682400
2024837427,-61.090229,-166.631088,-339.477631,-0.764616,-1.626505,0.591968
2024877452,-63.295502,-194.138138,-465.377533,-0.758747,-0.586527,0.150122
2024917471,93.141571,-210.903061,-535.256653,-0.388341,0.765139,-0.519731
2024957501,179.161453,-188.674286,-442.653656,0.236514,2.328889,-0.876861
2024997544,-113.937393,-47.647449,-85.264252,0.921138,3.275007,-1.548239
2025037545,-47.439034,42.832672,145.627762,0.611624,2.103065,-1.368314
2025077575,-39.054092,102.568565,247.793701,0.585833,1.417510,-0.916729
2025117595,-38.077953,144.224594,381.609222,0.368769,1.051070,-0.306518
2025157625,-67.047165,160.037399,544.910339,-0.193904,0.568441,0.044185
2025197650,13.868503,198.347931,615.608154,-1.232122,-0.694565,0.135087
2025237669,46.960888,138.953568,409.782806,-1.636055,-2.792785,0.916102
2025277699,-10.202816,-37.808277,50.992748,-1.173811,-2.931192,1.081369
2025317718,-28.164881,-51.551033,-131.106720,-0.948830,-2.571298,0.336103
2025357748,-116.813065,-16.382483,-348.990601,-0.925089,-2.337675,0.556662
2025397773,-47.141727,-102.166832,-555.855774,-0.978788,-1.125629,0.548786
2025437793,111.877861,-175.480881,-636.260193,-0.724380,0.096417,-0.198800
2025477822,298.985474,-180.463257,-618.716980,-0.517241,1.550614,-0.956512
2025517847,369.306854,-147.405746,-420.681641,0.143209,3.113075,-1.697910
2025557867,-103.914673,13.068974,56.998749,0.414958,2.874044,-1.594360
2025597897,-151.935135,100.403175,246.183701,0.206133,1.460723,-1.615741
2025637916,-125.280212,166.689972,297.866516,0.384363,1.072946,-0.746193
2025677946,-127.003189,176.935959,413.105530,0.255439,0.690548,-0.271533
2025717971,-5.597096,161.023636,490.399719,-0.148886,0.139814,0.055910
2025757991,127.049721,195.457123,548.569885,-0.872519,-0.536342,0.295455
2025798020,79.440041,182.740402,398.777618,-1.305901,-2.484685,1.215760
2025838068,10.614951,-7.929340,71.100334,-0.778913,-2.548989,1.423908
2025878064,21.307222,-73.464432,-92.383049,-0.762290,-2.333060,1.031750
2025918094,-115.530571,-62.908844,-279.997253,-0.669970,-2.175164,1.026623
2025958114,-114.196266,-124.394737,-448.432343,-0.608388,-1.123010,0.769023
2025998144,38.653332,-158.380905,-528.758972,-0.460518,-0.195994,0.174246
2026038168,77.387718,-169.619995,-465.930267,0.004121,1.242804,-0.212411
2026078188,227.600449,-156.369461,-313.792999,0.578316,2.711118,-0.774114
2026118218,74.046783,-79.732727,-15.768371,0.832822,2.234829,-1.544540
2026158238,-33.086040,69.576874,125.623207,1.064336,1.200303,-2.145824
2026198267,18.481775,215.515335,192.434036,0.490259,0.939029,-0.787653
2026238292,-50.731525,236.035797,302.054840,0.371947,0.701573,-0.034608
2026278312,-36.758915,252.998734,400.491180,-0.028545,0.344282,0.041185
2026318342,8.376008,337.473938,476.022949,-0.793241,-0.248609,0.355797
2026358366,73.202408,290.121948,317.353424,-1.320099,-2.154809,1.666159
2026398386,11.794519,-8.591641,50.842461,-0.462054,-1.962472,2.281616
2026438416,77.474792,-195.202805,-59.250061,-0.319052,-1.753652,1.281544
2026478435,-24.208504,-134.679092,-190.886093,-0.174178,-1.726438,0.609109
2026518465,-4.962596,-59.303589,-365.008179,-0.108896,-0.894739,0.227503
2026558490,5.675538,-54.831421,-372.982361,0.068938,0.063352,0.208363
2026598509,-30.877287,43.584225,-338.537201,0.499374,0.843444,0.017068
2026638539,-138.120117,138.668991,-94.373703,0.936779,0.921249,0.479645
2026678571,-63.602108,85.065399,-69.828789,0.838259,0.374134,0.723614
2026718584,36.259804,51.412678,-30.667231,0.933976,0.435384,0.641975
2026758614,35.804630,40.932838,25.650715,0.834013,0.144602,0.841423
2026798633,-2.554996,31.033915,16.059946,0.684287,0.050509,0.823741
2026838663,-26.777227,37.928436,1.491580,0.668950,0.041670,0.749884
2026878688,-2.205206,33.257065,9.332907,0.642470,0.014393,0.748166
2026918707,4.692546,22.010584,25.319326,0.616089,-0.003305,0.762290
2026958738,8.369597,13.644130,19.775951,0.605020,-0.076907,0.762084
2026998770,9.497218,18.611012,3.414293,0.583014,-0.049025,0.804124
2027038781,-10.965443,22.069777,-1.994688,0.602423,-0.032993,0.779940
2027078811,2.131876,20.239693,-4.072948,0.606903,-0.054714,0.835564
