Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
2084354242,12.080788,-0.293583,-0.192476,-0.102193,0.256244,0.972523
2084394272,11.726913,4.643086,-1.059066,-0.104935,0.250257,0.965510
2084434291,15.677225,14.195780,-4.810830,-0.162010,0.255045,0.978096
2084474321,-7.408414,41.087875,-4.766109,-0.183111,0.384963,0.993872
2084514346,-26.633833,66.236565,-3.730448,-0.165657,0.191797,0.952897
2084554365,-11.392778,46.486126,-7.874084,-0.119067,0.269963,1.087543
2084594395,-19.606205,3.432223,-8.101193,-0.161936,0.277656,1.158834
2084634415,-22.852985,-20.211958,-0.540826,-0.136764,0.362159,1.083822
2084674445,-26.803984,-23.172092,8.467650,-0.237379,0.319506,0.994691
2084714470,-27.575062,-22.718506,-4.846947,-0.360618,0.278099,0.953511
2084754489,-17.405331,-33.765560,-19.529816,-0.458687,0.262582,0.891469
2084794519,-35.459019,-32.102398,-17.200563,-0.482364,0.311915,0.841268
2084834544,-27.501913,-34.839272,16.012123,-0.397822,0.274500,0.635708
2084874564,26.453568,-12.519101,35.366627,-0.339801,0.104921,0.374599
2084914594,28.176737,36.002911,34.492321,-0.212718,-0.010123,0.384119
2084954614,-26.243763,85.013565,46.775845,-0.024964,-0.010172,0.677709
2084994644,-26.718454,92.031731,33.921989,-0.020713,-0.111024,1.039237
2085034668,5.981165,38.796478,29.745213,-0.011247,0.052613,1.878253
2085074688,1.802097,-128.919220,44.902199,-0.023294,0.064394,1.589478
2085114718,-19.159662,6.836827,22.818899,-0.337587,-0.095113,1.009956
2085154743,3.480751,36.289070,-22.903517,-0.097773,0.213060,1.080715
2085194763,-13.581540,-0.130809,16.182789,-0.078153,0.027219,1.484800
2085234792,74.369110,-132.363144,-1.541672,-0.247057,-0.105807,1.372753
2085274812,38.270763,-160.037659,-41.003120,-0.397592,-0.312763,0.922992
2085314842,1.209846,-101.351768,-128.558304,-0.414182,-0.196246,0.469959
2085354867,-32.445126,17.440201,-194.348114,-0.339468,0.034404,0.346522
2085394886,-58.643940,101.525986,-155.465805,-0.066816,0.568945,0.623713
2085434917,-49.081650,92.613136,-67.142899,-0.022266,0.546979,0.839015
2085474952,29.483801,49.584332,-26.105825,-0.007648,0.633399,1.003831
2085514961,64.683800,39.203632,10.768246,-0.107337,0.439130,1.289719
2085554991,51.598846,-48.345676,19.476946,-0.101101,0.319922,1.438484
2085595010,-34.740543,8.260485,11.695210,-0.235264,0.144430,0.915587
2085635041,-0.728061,15.425143,-13.932421,-0.158654,0.166962,0.937459
2085675065,11.348322,0.846373,-11.817468,-0.178422,0.176693,0.942401
2085715085,8.660211,-10.054458,1.790230,-0.194495,0.217702,0.959137
2085755115,-5.173962,-6.328637,6.548014,-0.232463,0.179076,0.991551
2085795134,4.438972,-1.166236,-0.152245,-0.190195,0.185345,0.975823
2085835165,6.475347,0.090899,-1.912065,-0.166277,0.212821,0.958968
2085875190,1.865496,0.802946,0.095215,-0.174792,0.208311,0.964697
2085915209,1.761184,1.106358,-1.626919,-0.182716,0.207529,0.965444
2085955239,-0.376834,2.290152,-2.245600,-0.180527,0.217281,0.958640
2085995264,-4.360532,2.634828,-0.008143,-0.187123,0.212020,0.964023
2086035284,-3.424677,1.133677,-1.094072,-0.184156,0.193313,0.956167
2086075313,-0.534632,-0.275398,0.914620,-0.191580,0.196281,0.964647
2086115333,3.078327,-0.734635,2.070884,-0.184180,0.197180,0.962729
2086155363,6.038411,-1.034531,2.501750,-0.178712,0.199221,0.962182
2086195388,6.824243,-0.634455,3.289227,-0.181045,0.210487,0.964092
2086235408,6.425262,-0.428460,3.814701,-0.181563,0.211296,0.960831
2086275438,6.592084,-0.754065,3.438296,-0.182210,0.225344,0.958770
2086315457,3.372433,0.485600,2.701168,-0.175573,0.237229,0.959646
2086355482,-2.105878,2.412637,-1.341734,-0.180469,0.233769,0.955431
2086395512,-7.002922,3.116267,-1.523666,-0.183501,0.231838,0.956367
2086435532,-10.438300,2.455562,0.578350,-0.192416,0.207877,0.962102
2086475562,-7.680922,0.169693,1.791467,-0.187580,0.201706,0.959817
2086515587,-3.366344,-2.624054,1.926402,-0.188552,0.186191,0.961416
2086555606,2.757816,-1.661990,0.952953,-0.192388,0.206750,0.970968
2086595636,-0.801236,-0.125258,0.285870,-0.174264,0.221492,0.957512
